fid	x	y
house_0	696385.7244418644	3877215.9152081693
house_1	696394.5343626469	3877211.1838980117
house_2	696403.3442834293	3877206.452587854
house_3	696412.1542042118	3877201.7212776965
house_4	696420.9641249942	3877196.989967539
house_5	696429.7740457767	3877192.2586573814
house_6	696438.5839665591	3877187.527347224
house_7	696447.3938873416	3877182.7960370663
house_8	696456.2038081242	3877178.0647269087
house_9	696465.0137289066	3877173.333416751
house_10	696473.8236496891	3877168.602106594
house_11	696482.6335704715	3877163.8707964364
house_12	696491.443491254	3877159.139486279
house_13	696500.2534120365	3877154.4081761213
house_14	696509.0633328189	3877149.6768659637
house_15	696517.8732536014	3877144.945555806
house_16	696526.6831743838	3877140.2142456486
house_17	696535.4930951663	3877135.482935491
house_18	696544.3030159487	3877130.7516253334
house_19	696553.1129367312	3877126.020315176
house_20	696561.9228575137	3877121.2890050183
house_21	696570.7327782961	3877116.557694861
house_22	696579.8247442768	3877112.3983954987
house_23	696588.9419392045	3877108.29026251
house_24	696598.0591341322	3877104.182129522
house_25	696607.1763290599	3877100.0739965336
house_26	696616.2935239876	3877095.965863545
house_27	696625.4107189153	3877091.8577305567
house_28	696634.527913843	3877087.7495975685
house_29	696643.6451087708	3877083.64146458
house_30	696652.7623036985	3877079.5333315916
house_31	696661.8794986262	3877075.4251986034
house_32	696670.9966935539	3877071.3170656147
house_33	696680.1138884816	3877067.2089326265
house_34	696689.2310834093	3877063.1007996383
house_35	696698.348278337	3877058.9926666496
house_36	696707.4654732647	3877054.8845336614
house_37	696716.5826681925	3877050.776400673
house_38	696725.6998631201	3877046.6682676845
house_39	696734.8170580479	3877042.5601346963
house_40	696743.9342529755	3877038.452001708
house_41	696753.0514479033	3877034.3438687194
house_42	696762.168642831	3877030.235735731
house_43	696771.2858377587	3877026.127602743
house_44	696780.4030326864	3877022.0194697543
house_45	696789.5202276141	3877017.911336766
house_46	710082.4733004378	3860854.9639528175
house_47	710092.3483294705	3860853.3879446946
house_48	710102.2233585031	3860851.8119365713
house_49	710112.0983875358	3860850.235928448
house_50	710121.9734165685	3860848.659920325
house_51	710131.8484456011	3860847.0839122017
house_52	710141.7234746338	3860845.5079040783
house_53	710151.5985036663	3860843.9318959555
house_54	710161.473532699	3860842.355887832
house_55	710171.3485617316	3860840.7798797092
house_56	710181.2235907643	3860839.203871586
house_57	710191.098619797	3860837.6278634625
house_58	710200.9841130296	3860836.1257968335
house_59	710210.9086710566	3860834.8997674836
house_60	710220.8332290837	3860833.6737381336
house_61	710230.7577871107	3860832.4477087837
house_62	710240.6823451378	3860831.2216794337
house_63	710250.606903165	3860829.9956500833
house_64	710260.5314611921	3860828.7696207333
house_65	710270.5017040028	3860828.1611397127
house_66	710280.498635373	3860827.9134237827
house_67	710290.4955667431	3860827.6657078527
house_68	710300.4810825438	3860827.6156869917
house_69	710310.3830572953	3860829.012431786
house_70	710320.2850320468	3860830.4091765806
house_71	710329.8628004689	3860833.0035058307
house_72	710339.1171019273	3860836.7926883968
house_73	710348.3714033855	3860840.581870963
house_74	710357.1794742101	3860845.1269164826
house_75	710364.9679254199	3860851.399079407
house_76	710372.7563766298	3860857.6712423316
house_77	710380.5448278397	3860863.943405256
house_78	710388.3332790496	3860870.2155681807
house_79	710396.1217302594	3860876.487731105
house_80	710403.9101814693	3860882.7598940297
house_81	710412.5403242317	3860887.791915595
house_82	710421.4213338422	3860892.3286097376
house_83	710430.8384001225	3860895.6929614837
house_84	710440.3281728118	3860898.620537926
house_85	710450.3272976436	3860898.4882405507
house_86	710460.1904906433	3860897.5669320296
house_87	710469.6574311823	3860894.345591186
house_88	710478.1981872978	3860889.4051890546
house_89	710486.0957591736	3860883.2709932257
house_90	710493.1242658129	3860876.3959955974
house_91	710497.9305617887	3860867.626758516
house_92	710502.0017753488	3860858.5611204645
house_93	710504.6226843215	3860848.910688549
house_94	710505.9659888241	3860839.082317422
house_95	710506.0818133829	3860829.082988211
house_96	710506.0203236854	3860819.0967520913
house_97	710504.4370393214	3860809.2228870615
house_98	710502.8537549574	3860799.3490220318
house_99	710501.2704705935	3860789.4751570025
house_100	704390.603228206	3866305.825489482
house_101	704384.4255041354	3866313.6890589837
house_102	704378.2477800648	3866321.552628485
house_103	704372.0700559942	3866329.416197987
house_104	704365.8923319236	3866337.2797674886
house_105	704359.714607853	3866345.14333699
house_106	704353.5368837824	3866353.0069064917
house_107	704347.3591597116	3866360.8704759935
house_108	704341.181435641	3866368.734045495
house_109	704335.0037115704	3866376.5976149966
house_110	704328.8259874998	3866384.4611844984
house_111	704322.6482634292	3866392.324754
house_112	704316.4705393586	3866400.1883235015
house_113	704310.292815288	3866408.0518930033
house_114	704303.5620941027	3866415.4374010405
house_115	704296.6744165712	3866422.6872216053
house_116	704289.7867390396	3866429.93704217
house_117	704282.899061508	3866437.1868627346
house_118	704276.0113839764	3866444.4366832995
house_119	704268.7711301245	3866451.3157233223
house_120	704261.1840315922	3866457.8300103797
house_121	704082.9758794995	3866595.282993286
house_122	704088.9561207425	3866603.297774298
house_123	704095.4299541643	3866607.446901472
house_124	704103.232247014	3866601.1919653183
house_125	704111.0345398636	3866594.9370291643
house_126	704118.8368327132	3866588.6820930103
house_127	704126.6391255627	3866582.4271568567
house_128	704134.1809074647	3866575.863729952
house_129	704141.6540544039	3866569.2190271877
house_130	704149.1272013431	3866562.5743244234
house_131	704156.6003482823	3866555.929621659
house_132	704164.2749885968	3866549.5218299087
house_133	704172.0331642271	3866543.2122569527
house_134	704179.7913398575	3866536.9026839966
house_135	704187.5495154879	3866530.5931110405
house_136	704195.3076911183	3866524.2835380845
house_137	704203.0658667487	3866517.9739651284
house_138	704210.824042379	3866511.6643921724
house_139	704218.5822180095	3866505.3548192163
house_140	704225.9051029042	3866498.6176132197
house_141	704232.0759989485	3866490.748684321
house_142	704238.2468949929	3866482.8797554225
house_143	704244.4177910372	3866475.0108265243
house_144	704250.7518492597	3866461.4970417684
house_145	704247.2934574328	3866454.213520589
house_146	704237.3370037004	3866453.281303298
house_147	704227.895448655	3866451.091532914
house_148	704220.1442184581	3866444.773429525
house_149	704212.3929882613	3866438.4553261357
house_150	704204.6417580644	3866432.137222747
house_151	704196.8905278676	3866425.819119358
house_152	704189.1392976707	3866419.5010159686
house_153	704181.3880674738	3866413.1829125797
house_154	704173.636837277	3866406.8648091904
house_155	704165.8856070801	3866400.5467058015
house_156	704157.1383217496	3866395.869253163
house_157	704147.9566825952	3866391.9072457887
house_158	704138.3321167503	3866391.2899400117
house_159	704128.4549533494	3866392.7751536546
house_160	704120.1791566302	3866398.3886364116
house_161	704111.9033599108	3866404.0021191686
house_162	704103.6275631916	3866409.615601925
house_163	704095.3517664723	3866415.229084682
house_164	704088.5810106657	3866422.3623419595
house_165	704082.8871748402	3866430.583061733
house_166	704077.1933390147	3866438.803781506
house_167	704072.0695050083	3866447.36727449
house_168	704067.4776861983	3866456.2506972547
house_169	704063.0216024569	3866465.1809106474
house_170	704061.1639259506	3866475.0068476507
house_171	704059.3062494445	3866484.8327846546
house_172	704057.4485729383	3866494.658721658
house_173	704055.590896432	3866504.4846586618
house_174	704053.7332199259	3866514.310595665
house_175	704054.0992825391	3866524.2761393725
house_176	704054.7134687243	3866534.257260318
house_177	704055.8834768336	3866544.0548712993
house_178	704061.3329453545	3866552.439577188
house_179	704066.7824138753	3866560.824283077
house_180	704072.6059039991	3866568.9301440027
house_181	704079.0858218289	3866576.5466172625
house_182	704084.6419091605	3866584.219360045
house_183	694337.6641772249	3879003.8289611363
house_184	694345.7240347898	3878997.909611845
house_185	694353.7838923547	3878991.9902625536
house_186	694361.8437499197	3878986.070913262
house_187	694369.9036074847	3878980.151563971
house_188	694377.9634650495	3878974.2322146795
house_189	694386.0233226145	3878968.312865388
house_190	694394.0831801795	3878962.3935160968
house_191	694402.1430377444	3878956.474166806
house_192	694410.2028953093	3878950.5548175145
house_193	694418.2627528743	3878944.635468223
house_194	694426.3226104393	3878938.716118932
house_195	694434.3824680042	3878932.7967696404
house_196	694442.4423255691	3878926.877420349
house_197	694450.5021831341	3878920.9580710577
house_198	694458.5620406991	3878915.0387217663
house_199	694466.6218982639	3878909.119372475
house_200	694474.8519848966	3878903.440703692
house_201	694483.1181032907	3878897.812978868
house_202	694491.3842216849	3878892.185254044
house_203	694499.650340079	3878886.55752922
house_204	694507.9164584732	3878880.929804396
house_205	694516.1825768673	3878875.3020795723
house_206	694524.4486952615	3878869.6743547483
house_207	694532.7148136556	3878864.0466299243
house_208	694540.9809320498	3878858.4189051003
house_209	694549.2470504439	3878852.7911802763
house_210	694557.5131688381	3878847.1634554523
house_211	694565.7792872322	3878841.5357306288
house_212	694578.4209668319	3878833.456688647
house_213	694587.1464903709	3878828.5714825136
house_214	694595.87201391	3878823.68627638
house_215	694604.597537449	3878818.801070246
house_216	694613.323060988	3878813.9158641123
house_217	694852.6138839412	3876940.6269387426
house_218	694862.0058895424	3876944.060629292
house_219	694871.3978951436	3876947.494319841
house_220	694880.7899007448	3876950.92801039
house_221	694890.181906346	3876954.361700939
house_222	694899.5739119472	3876957.7953914884
house_223	694908.9659175484	3876961.229082037
house_224	694918.3579231496	3876964.6627725866
house_225	694927.7499287508	3876968.0964631354
house_226	694937.141934352	3876971.530153685
house_227	694946.5339399532	3876974.9638442337
house_228	694955.9259455544	3876978.397534783
house_229	694965.3179511556	3876981.8312253323
house_230	694974.7099567568	3876985.264915881
house_231	694984.101962358	3876988.6986064306
house_232	694993.4939679592	3876992.1322969794
house_233	695002.8859735604	3876995.565987529
house_234	695012.2779791615	3876998.9996780776
house_235	695021.6699847627	3877002.433368627
house_236	695031.0619903639	3877005.867059176
house_237	695040.4539959651	3877009.300749725
house_238	695049.8460015663	3877012.734440274
house_239	695059.2380071675	3877016.1681308234
house_240	695068.6300127687	3877019.6018213723
house_241	695077.82298082	3877023.5351115395
house_242	695087.0031711955	3877027.500474659
house_243	695096.183361571	3877031.465837778
house_244	695105.3635519467	3877035.4312008973
house_245	695114.5437423222	3877039.3965640166
house_246	695123.7239326979	3877043.361927136
house_247	695132.8568149336	3877047.4239930674
house_248	695141.621982006	3877052.2377074533
house_249	695150.3871490784	3877057.0514218397
house_250	695159.1523161508	3877061.8651362257
house_251	695167.9174832233	3877066.678850612
house_252	695176.6826502957	3877071.4925649986
house_253	695185.4478173682	3877076.3062793845
house_254	695194.2129844406	3877081.119993771
house_255	695683.0678933996	3877381.612041886
house_256	695691.7203676765	3877386.625492682
house_257	695700.3728419533	3877391.638943479
house_258	695709.0253162301	3877396.652394275
house_259	695717.677790507	3877401.6658450714
house_260	695726.3302647838	3877406.679295868
house_261	695734.9827390607	3877411.6927466644
house_262	695743.6352133375	3877416.706197461
house_263	695752.2876876143	3877421.7196482574
house_264	695761.286903373	3877426.057611065
house_265	695770.4041193518	3877430.1656973343
house_266	695779.5213353304	3877434.2737836037
house_267	695788.6385513091	3877438.3818698735
house_268	695797.7557672878	3877442.489956143
house_269	695806.8729832665	3877446.598042412
house_270	695816.3871182906	3877449.6403028523
house_271	695825.9705664018	3877452.496440507
house_272	695835.554014513	3877455.3525781613
house_273	695845.2053036727	3877457.931506316
house_274	695855.0246364708	3877459.8237809786
house_275	695864.8439692691	3877461.716055641
house_276	695874.7086613202	3877463.261962142
house_277	695884.6841320265	3877463.9619508456
house_278	695894.659602733	3877464.6619395497
house_279	695904.6360891125	3877465.324094442
house_280	695914.6347479878	3877465.1603241893
house_281	695924.6334068631	3877464.9965539365
house_282	695934.6320657383	3877464.8327836837
house_283	695944.5492943862	3877463.6254716227
house_284	695954.4523291028	3877462.236261991
house_285	695964.3553638194	3877460.847052359
house_286	695974.258398536	3877459.4578427267
house_287	695984.0809559561	3877457.61113772
house_288	695993.8635891214	3877455.5374722807
house_289	696003.5322717888	3877453.058828975
house_290	696012.9608728968	3877449.72694045
house_291	696022.389474005	3877446.3950519245
house_292	696031.818075113	3877443.063163399
house_293	696041.2466762211	3877439.731274874
house_294	696050.6752773292	3877436.3993863487
house_295	696060.1038784373	3877433.0674978234
house_296	696068.9333732818	3877428.422762089
house_297	696077.6286764881	3877423.4839664716
house_298	696086.3239796943	3877418.545170854
house_299	696095.0192829004	3877413.6063752365
house_300	696103.7145861066	3877408.6675796187
house_301	696112.4098893128	3877403.7287840014
house_302	695359.4579908269	3877180.7358919107
house_303	695367.9520868228	3877186.013233402
house_304	695376.4461828187	3877191.290574893
house_305	695384.9402788146	3877196.567916384
house_306	695393.4343748104	3877201.845257875
house_307	695401.9284708063	3877207.122599366
house_308	695410.4225668022	3877212.399940857
house_309	695418.9166627981	3877217.6772823483
house_310	695427.4107587939	3877222.954623839
