fid	x	y
house_0	686678.2094563153	6087787.800458523
house_1	686668.0498780658	6087776.820425746
house_2	686653.6199732483	6087773.957441803
house_3	686638.7196137167	6087772.4573487425
house_4	686624.2856507674	6087768.46195393
house_5	686610.7327531376	6087762.0856379
house_6	686598.4503699511	6087753.511142055
house_7	686685.1854402547	6087788.271147706
house_8	686696.0934622994	6087777.979955766
house_9	686648.2102681694	6087815.50771674
house_10	686660.8175323039	6087807.381775097
house_11	686672.9185416943	6087798.523505813
house_12	687284.9122377557	6085482.53390634
house_13	687273.310751022	6085473.025725359
house_14	687261.7092642881	6085463.5175443785
house_15	687250.5352142801	6085453.530261017
house_16	687240.9948893893	6085441.986281172
house_17	687233.4677143949	6085429.038589377
house_18	687228.1559774083	6085415.03467312
house_19	687225.1355423084	6085400.3579961825
house_20	687223.1353128465	6085385.491958307
house_21	687222.0890324676	6085370.596947777
house_22	687229.6597409932	6085358.077839194
house_23	687243.7572119243	6085353.604854676
house_24	687258.6232502211	6085351.60462835
house_25	687273.4892885179	6085349.604402022
house_26	687288.3553268146	6085347.604175695
house_27	687303.2213651114	6085345.603949368
house_28	687318.0874034081	6085343.603723042
house_29	687332.953441705	6085341.6034967145
house_30	687347.8409024925	6085339.769692395
house_31	687362.7332426538	6085337.97910675
house_32	687377.6592224224	6085336.49077616
house_33	687392.5928412984	6085335.089096864
house_34	687407.5489958917	6085333.9430428585
house_35	687422.5138895798	6085332.931196523
house_36	687437.4923710858	6085332.128020468
house_37	687452.4785154636	6085331.506679446
house_38	687467.471464255	6085331.046802792
house_39	687482.4688213803	6085330.816384748
house_40	687497.4683702384	6085330.700048802
house_41	687512.4668947568	6085330.8607164435
house_42	687527.4651729997	6085331.087982252
house_43	687542.4548185574	6085331.639643226
house_44	687557.4433344024	6085332.224582711
house_45	687572.4249521765	6085332.966963254
house_46	687587.4065699506	6085333.709343797
house_47	687602.3881877247	6085334.451724338
house_48	687617.3698054989	6085335.194104881
